1953,The Demolished Man,Alfred Bester,y,y
1955,They'd Rather Be Right,Mark Clifton and Frank Riley,y,
1956,Double Star,Robert A. Heinlein,y,y
1958,The Big Time,Fritz Leiber,y,y
1959,A Case of Conscience,James Blish,y,
1960,Starship Troopers,Robert A. Heinlein,y,
1961,A Canticle for Leibowitz,Walter M. Miller Jr.,y,y
1962,Stranger in a Strange Land,Robert A. Heinlein,y,y
1963,The Man in the High Castle,Philip K. Dick,y,y
1964,Way Station,Clifford D. Simak,y,y
1965,The Wanderer,Fritz Leibler,y,y
1966,This Immortal,Roger Zelazny,y,y
1966,Dune,Frank Herbert,,y
1967,The Moon Is a Harsh Mistress,Robert A. Heinlein,y,y
1968,Lord of Light,Roger Zelazny,y,y
1969,Stand on Zanzibar,John Brunner,y,y
1970,The Left Hand of Darkness,Ursula K. Le Guin,y,y
1971,Ringworld,Larry Niven,y,y
1972,To Your Scattered Bodies Go,Philip José Farmer,y,y
1973,The God's Themselves,Isaac Asimov,y,y
1974,Rendezvous with Rama,Arthur C. Clarke,y,y
1975,The Dispossessed,Ursula K. Le Guin,y,
1976,The Forever War,Joe Haldeman,y,y
1977,Where Late the Sweet Birds Sang,Kate Wilhelm,,
1978,Gateway,Frederik Pohl,y,y
1979,Dreamsnake,Vonda N. McIntyre,y,
1980,The Fountains of Paradise,Arthur C. Clarke,y,y
1981,The Snow Queen,Joan D. Vinge,y,y
1982,Downbelow Station,C. J. Cherryh,y,
1983,Foundation's Edge,Isaac Asimov,y,y
1984,Startide Rising,David Brin,y,y
1985,Neuromancer,William Gibson,y,
1986,Ender's Game,Orson Scott Card,y,y
1987,Speaker for the Dead,Orson Scott Card,y,y
1988,The Uplift War,David Brin,y,y
1989,Cyteen,C. J. Cherryh,y,
1990,Hyperion,Dan Simmons,,y
1991,The Vor Game,Lois McMaster Bujold,y,
1992,Barrayar,Lois McMaster Bujold,,
1993,A Fire Upon the Deep,Vernor Vinge,y,y
1993,Doomsday Book,Connie Willis,y,y
1994,Green Mars,Kim Stanley Robinson,,
1995,Mirror Dance,Lois McMaster Bujold,y,
1996,The Diamond Age,Neal Stephenson,y,y
1997,Blue Mars,Kim Stanley Robinson,,
1998,Forever Peace,Joe Haldeman,,
1999,To Say Nothing of the Dog,Connie Willis,y,y
2000,A Deepness in the Sky,Vernor Vinge,y,y
2001,Harry Potter and the Goblet of Fire,J. K. Rowling,,
2002,American Gods,Neil Gaiman,y,y
2003,Hominids,Robert J. Sawyer,y,y
2004,Paladin of Souls,Lois McMaster Bujold,y,
2005,Jonathan Strange & Mr Norrell,Susanna Clarke,,
2006,Spin,Robert Charles Wilson,,
2007,Rainbows End,Vernor Vinge,,
2008,The Yiddish Policemen's Union,Michael Chabon,,
2009,The Graveyard Book,Neil Gaiman,,
2010,The City & the City,China Miéville,,
2010,The Windup Girl,Paolo Bacigalupi,,
2011,Blackout/All Clear,Connie Willis,,
2012,Among Others,Jo Walton,,
2013,Redshirts,John Scalzi,,
2014,Ancillary Justice,Ann Leckie,y,y
2015,The Three-Body Problem,Liu Cixin,y,y
2016,The Fifth Season,N. K. Jemisin,y,
2017,The Obelisk Gate,N. K. Jemisin,,
2018,The Stone Sky,N. K. Jemisin,,
2019,The Calculating Stars,Mary Robinette Kowal,,
2020,A Memory Called Empire,Arkady Martine,y,y
2021,Network Effect,Martha Wells,,
2022,A Desolation Called Peace,Arkady Martine,y,y
2023,Nettle & Bone,T. Kingfisher (Ursula Vernon),,
2024,Some Desperate Glory,Emily Tesh,y,y
